date,team,opp,wl
Monday Apr 3,MIA,WSN,L
Wednesday Apr 5,MIA,WSN,L
Thursday Apr 6,MIA,WSN,W
Friday Apr 7,MIA,NYM,W
Saturday Apr 8,MIA,NYM,W
Sunday Apr 9,MIA,NYM,L
Tuesday Apr 11,MIA,ATL,W
Wednesday Apr 12,MIA,ATL,L
Thursday Apr 13,MIA,NYM,L
Friday Apr 14,MIA,NYM,W
Saturday Apr 15,MIA,NYM,W
Sunday Apr 16,MIA,NYM,W
Monday Apr 17,MIA,SEA,L
Tuesday Apr 18,MIA,SEA,W
Wednesday Apr 19,MIA,SEA,L
Friday Apr 21,MIA,SDP,L
Saturday Apr 22,MIA,SDP,W
Sunday Apr 23,MIA,SDP,W
Wednesday Apr 26,MIA,PHI,L
Thursday Apr 27,MIA,PHI,L
Friday Apr 28,MIA,PIT,L
Saturday Apr 29,MIA,PIT,L
Sunday Apr 30,MIA,PIT,W
Monday May 1,MIA,TBR,L
Tuesday May 2,MIA,TBR,L
Wednesday May 3,MIA,TBR,W
Thursday May 4,MIA,TBR,L
Friday May 5,MIA,NYM,L
Saturday May 6,MIA,NYM,L
Sunday May 7,MIA,NYM,W
Monday May 8,MIA,STL,L
Tuesday May 9,MIA,STL,L
Wednesday May 10,MIA,STL,L
Friday May 12,MIA,ATL,L
Saturday May 13,MIA,ATL,L
Sunday May 14,MIA,ATL,W
Monday May 15,MIA,HOU,L
Tuesday May 16,MIA,HOU,L
Wednesday May 17,MIA,HOU,L
Thursday May 18,MIA,LAD,L
Friday May 19,MIA,LAD,L
Saturday May 20,MIA,LAD,W
Sunday May 21,MIA,LAD,L
Tuesday May 23,MIA,OAK,W
Wednesday May 24,MIA,OAK,L
Friday May 26,MIA,LAA,W
Saturday May 27,MIA,LAA,L
Sunday May 28,MIA,LAA,W
Monday May 29,MIA,PHI,W
Tuesday May 30,MIA,PHI,W
Wednesday May 31,MIA,PHI,W
Thursday Jun 1,MIA,ARI,L
Friday Jun 2,MIA,ARI,W
Saturday Jun 3,MIA,ARI,W
Sunday Jun 4,MIA,ARI,W
Monday Jun 5,MIA,CHC,L
Tuesday Jun 6,MIA,CHC,8:05
Wednesday Jun 7,MIA,CHC,8:05
Thursday Jun 8,MIA,PIT,7:05
Friday Jun 9,MIA,PIT,7:05
Saturday Jun 10,MIA,PIT,4:05
Sunday Jun 11,MIA,PIT,1:35
Tuesday Jun 13,MIA,OAK,7:10
Wednesday Jun 14,MIA,OAK,12:1
Friday Jun 16,MIA,ATL,7:35
Saturday Jun 17,MIA,ATL,4:10
Sunday Jun 18,MIA,ATL,1:35
Monday Jun 19,MIA,WSN,7:10
Tuesday Jun 20,MIA,WSN,7:10
Wednesday Jun 21,MIA,WSN,12:1
Thursday Jun 22,MIA,CHC,7:10
Friday Jun 23,MIA,CHC,7:10
Saturday Jun 24,MIA,CHC,4:10
Sunday Jun 25,MIA,CHC,1:10
Tuesday Jun 27,MIA,NYM,7:10
Wednesday Jun 28,MIA,NYM,7:10
Thursday Jun 29,MIA,NYM,7:10
Friday Jun 30,MIA,MIL,8:10
Saturday Jul 1,MIA,MIL,4:10
Sunday Jul 2,MIA,MIL,2:10
Monday Jul 3,MIA,STL,7:15
Tuesday Jul 4,MIA,STL,2:15
Wednesday Jul 5,MIA,STL,8:15
Thursday Jul 6,MIA,STL,1:45
