date,team,opp,wl,location,home
3/29/18,WSN,CIN,nil,Great American Ball Park - Cincinnati,n
3/31/18,WSN,CIN,nil,Great American Ball Park - Cincinnati,n
4/1/18,WSN,CIN,nil,Great American Ball Park - Cincinnati,n
4/2/18,WSN,ATL,nil,SunTrust Park - Atlanta,n
4/3/18,WSN,ATL,nil,SunTrust Park - Atlanta,n
4/4/18,WSN,ATL,nil,SunTrust Park - Atlanta,n
4/5/18,WSN,NYM,nil,Nationals Park - Washington,y
4/7/18,WSN,NYM,nil,Nationals Park - Washington,y
4/8/18,WSN,NYM,nil,Nationals Park - Washington,y
4/9/18,WSN,ATL,nil,Nationals Park - Washington,y
4/10/18,WSN,ATL,nil,Nationals Park - Washington,y
4/11/18,WSN,ATL,nil,Nationals Park - Washington,y
4/12/18,WSN,COL,nil,Nationals Park - Washington,y
4/13/18,WSN,COL,nil,Nationals Park - Washington,y
4/14/18,WSN,COL,nil,Nationals Park - Washington,y
4/15/18,WSN,COL,nil,Nationals Park - Washington,y
4/16/18,WSN,NYM,nil,Citi Field - Flushing,n
4/17/18,WSN,NYM,nil,Citi Field - Flushing,n
4/18/18,WSN,NYM,nil,Citi Field - Flushing,n
4/20/18,WSN,LAD,nil,Dodger Stadium - Los Angeles,n
4/21/18,WSN,LAD,nil,Dodger Stadium - Los Angeles,n
4/22/18,WSN,LAD,nil,Dodger Stadium - Los Angeles,n
4/23/18,WSN,SFG,nil,AT&T Park - San Francisco,n
4/24/18,WSN,SFG,nil,AT&T Park - San Francisco,n
4/25/18,WSN,SFG,nil,AT&T Park - San Francisco,n
4/27/18,WSN,ARI,nil,Nationals Park - Washington,y
4/28/18,WSN,ARI,nil,Nationals Park - Washington,y
4/29/18,WSN,ARI,nil,Nationals Park - Washington,y
4/30/18,WSN,PIT,nil,Nationals Park - Washington,y
5/1/18,WSN,PIT,nil,Nationals Park - Washington,y
5/2/18,WSN,PIT,nil,Nationals Park - Washington,y
5/3/18,WSN,PIT,nil,Nationals Park - Washington,y
5/4/18,WSN,PHI,nil,Nationals Park - Washington,y
5/5/18,WSN,PHI,nil,Nationals Park - Washington,y
5/6/18,WSN,PHI,nil,Nationals Park - Washington,y
5/7/18,WSN,SDP,nil,Petco Park - San Diego,n
5/8/18,WSN,SDP,nil,Petco Park - San Diego,n
5/9/18,WSN,SDP,nil,Petco Park - San Diego,n
5/10/18,WSN,ARI,nil,Chase Field - Phoenix,n
5/11/18,WSN,ARI,nil,Chase Field - Phoenix,n
5/12/18,WSN,ARI,nil,Chase Field - Phoenix,n
5/13/18,WSN,ARI,nil,Chase Field - Phoenix,n
5/15/18,WSN,NYY,nil,Nationals Park - Washington,y
5/16/18,WSN,NYY,nil,Nationals Park - Washington,y
5/18/18,WSN,LAD,nil,Nationals Park - Washington,y
5/19/18,WSN,LAD,nil,Nationals Park - Washington,y
5/20/18,WSN,LAD,nil,Nationals Park - Washington,y
5/21/18,WSN,SDP,nil,Nationals Park - Washington,y
5/22/18,WSN,SDP,nil,Nationals Park - Washington,y
5/23/18,WSN,SDP,nil,Nationals Park - Washington,y
