date,team,opp,wl,home
3/29/18,WAS,CIN,null,n
3/31/18,WAS,CIN,null,n
4/1/18,WAS,CIN,null,n
4/2/18,WAS,ATL,null,n
4/3/18,WAS,ATL,null,n
4/4/18,WAS,ATL,null,n
4/5/18,WAS,NYM,null,y
4/7/18,WAS,NYM,null,y
4/8/18,WAS,NYM,null,y
4/9/18,WAS,ATL,null,y
4/10/18,WAS,ATL,null,y
4/11/18,WAS,ATL,null,y
4/12/18,WAS,COL,null,y
4/13/18,WAS,COL,null,y
4/14/18,WAS,COL,null,y
4/15/18,WAS,COL,null,y
4/16/18,WAS,NYM,null,n
4/17/18,WAS,NYM,null,n
4/18/18,WAS,NYM,null,n
4/20/18,WAS,LAD,null,n
4/21/18,WAS,LAD,null,n
4/22/18,WAS,LAD,null,n
4/23/18,WAS,SFG,null,n
4/24/18,WAS,SFG,null,n
4/25/18,WAS,SFG,null,n
4/27/18,WAS,ARI,null,y
4/28/18,WAS,ARI,null,y
4/29/18,WAS,ARI,null,y
4/30/18,WAS,PIT,null,y
5/1/18,WAS,PIT,null,y
5/2/18,WAS,PIT,null,y
5/3/18,WAS,PIT,null,y
5/4/18,WAS,PHI,null,y
5/5/18,WAS,PHI,null,y
5/6/18,WAS,PHI,null,y
5/7/18,WAS,SDP,null,n
5/8/18,WAS,SDP,null,n
5/9/18,WAS,SDP,null,n
5/10/18,WAS,ARI,null,n
5/11/18,WAS,ARI,null,n
5/12/18,WAS,ARI,null,n
5/13/18,WAS,ARI,null,n
5/15/18,WAS,NYY,null,y
5/16/18,WAS,NYY,null,y
5/18/18,WAS,LAD,null,y
5/19/18,WAS,LAD,null,y
5/20/18,WAS,LAD,null,y
5/21/18,WAS,SDP,null,y
5/22/18,WAS,SDP,null,y
5/23/18,WAS,SDP,null,y
5/25/18,WAS,MIA,null,n
5/26/18,WAS,MIA,null,n
5/27/18,WAS,MIA,null,n
5/28/18,WAS,BAL,null,n
5/29/18,WAS,BAL,null,n
5/30/18,WAS,BAL,null,n
5/31/18,WAS,ATL,null,n
6/1/18,WAS,ATL,null,n
6/2/18,WAS,ATL,null,n
6/3/18,WAS,ATL,null,n
6/5/18,WAS,TBR,null,y
6/6/18,WAS,TBR,null,y
6/8/18,WAS,SFG,null,y
6/9/18,WAS,SFG,null,y
6/10/18,WAS,SFG,null,y
6/12/18,WAS,NYY,null,n
6/13/18,WAS,NYY,null,n
6/15/18,WAS,TOR,null,n
6/16/18,WAS,TOR,null,n
6/17/18,WAS,TOR,null,n
6/19/18,WAS,BAL,null,y
6/20/18,WAS,BAL,null,y
6/21/18,WAS,BAL,null,y
6/22/18,WAS,PHI,null,y
6/23/18,WAS,PHI,null,y
6/24/18,WAS,PHI,null,y
6/25/18,WAS,TBR,null,n
6/26/18,WAS,TBR,null,n
6/28/18,WAS,PHI,null,n
6/29/18,WAS,PHI,null,n
6/30/18,WAS,PHI,null,n
7/1/18,WAS,PHI,null,n
7/2/18,WAS,BOS,null,y
7/3/18,WAS,BOS,null,y
7/4/18,WAS,BOS,null,y
7/5/18,WAS,MIA,null,y
7/6/18,WAS,MIA,null,y
7/7/18,WAS,MIA,null,y
7/8/18,WAS,MIA,null,y
7/9/18,WAS,PIT,null,n
7/10/18,WAS,PIT,null,n
7/11/18,WAS,PIT,null,n
7/12/18,WAS,NYM,null,n
7/13/18,WAS,NYM,null,n
7/14/18,WAS,NYM,null,n
7/15/18,WAS,NYM,null,n
7/20/18,WAS,ATL,null,y
7/21/18,WAS,ATL,null,y
7/22/18,WAS,ATL,null,y
7/23/18,WAS,MIL,null,n
7/24/18,WAS,MIL,null,n
7/25/18,WAS,MIL,null,n
7/26/18,WAS,MIA,null,n
7/27/18,WAS,MIA,null,n
7/28/18,WAS,MIA,null,n
7/29/18,WAS,MIA,null,n
7/31/18,WAS,NYM,null,y
8/1/18,WAS,NYM,null,y
8/2/18,WAS,CIN,null,y
8/3/18,WAS,CIN,null,y
8/4/18,WAS,CIN,null,y
8/5/18,WAS,CIN,null,y
8/7/18,WAS,ATL,null,y
8/8/18,WAS,ATL,null,y
8/9/18,WAS,ATL,null,y
8/10/18,WAS,CHC,null,n
8/11/18,WAS,CHC,null,n
8/12/18,WAS,CHC,null,n
8/13/18,WAS,STL,null,n
8/14/18,WAS,STL,null,n
8/15/18,WAS,STL,null,n
8/16/18,WAS,STL,null,n
8/17/18,WAS,MIA,null,y
8/18/18,WAS,MIA,null,y
8/19/18,WAS,MIA,null,y
8/21/18,WAS,PHI,null,y
8/22/18,WAS,PHI,null,y
8/23/18,WAS,PHI,null,y
8/24/18,WAS,NYM,null,n
8/25/18,WAS,NYM,null,n
8/26/18,WAS,NYM,null,n
8/27/18,WAS,PHI,null,n
8/28/18,WAS,PHI,null,n
8/29/18,WAS,PHI,null,n
8/31/18,WAS,MIL,null,y
9/1/18,WAS,MIL,null,y
9/2/18,WAS,MIL,null,y
9/3/18,WAS,STL,null,y
9/4/18,WAS,STL,null,y
9/5/18,WAS,STL,null,y
9/6/18,WAS,CHC,null,y
9/7/18,WAS,CHC,null,y
9/8/18,WAS,CHC,null,y
9/9/18,WAS,CHC,null,y
9/10/18,WAS,PHI,null,n
9/11/18,WAS,PHI,null,n
9/12/18,WAS,PHI,null,n
9/14/18,WAS,ATL,null,n
9/15/18,WAS,ATL,null,n
9/16/18,WAS,ATL,null,n
9/17/18,WAS,MIA,null,n
9/18/18,WAS,MIA,null,n
9/20/18,WAS,NYM,null,y
9/21/18,WAS,NYM,null,y
9/22/18,WAS,NYM,null,y
9/23/18,WAS,NYM,null,y
9/24/18,WAS,MIA,null,y
9/25/18,WAS,MIA,null,y
9/26/18,WAS,MIA,null,y
9/28/18,WAS,COL,null,n
9/29/18,WAS,COL,null,n
9/30/18,WAS,COL,null,n
